R,fci,ccsdt,b3lyp,pbe0,m06-2x,b2-plyp,pbe0-dh,scan0-dh,tpss0-dh
0.55,-1.1102807209,-1.1352712846,,-1.1292660358,-1.1317620831,-1.1329421438,-1.1322134813,-1.1331826179,-1.1395923322
0.65,-1.1436233819,-1.1669383465,,-1.1616027657,-1.1630762546,-1.1643222628,-1.1641251927,-1.1644563675,-1.1709690815
0.75,-1.152085131,-1.1737534971,,-1.1688977023,-1.1694223029,-1.1707947409,-1.1709390492,-1.1707164448,-1.1772775026
0.85,-1.1475738355,-1.1676126637,,-1.1629876112,-1.1625928625,-1.1641924996,-1.1645129669,-1.1638110924,-1.1703593312
0.95,-1.1364047074,-1.1548220245,,-1.1501244104,-1.1488768154,-1.1507629125,-1.151113767,-1.1499963158,-1.1565344302
1.05,-1.122109244,-1.1389072746,,-1.1337806096,-1.1317742567,-1.1339756961,-1.1342250085,-1.1327471984,-1.1392461613
1.15,-1.1067301548,-1.1219104508,,-1.1159449966,-1.1132566388,-1.1158187288,-1.1158450495,-1.1140549125,-1.1204814012
1.25,-1.0914737877,-1.1050431983,,-1.0977779544,-1.0944685111,-1.0974527166,-1.0971431066,-1.095081754,-1.1014180561
1.35,-1.0770557732,-1.0890327581,,-1.0799609336,-1.0760934903,-1.0795607622,-1.0788089693,-1.0765111812,-1.0827245308
1.45,-1.0638886069,-1.0743093382,,-1.0628886514,-1.0585221807,-1.0625405674,-1.0612455496,-1.0587407053,-1.0648450822
1.55,-1.0521869394,-1.0611106183,,-1.0467794923,-1.0419439761,-1.0466146071,-1.0446795655,-1.0419924972,-1.0479705847
1.65,-1.0420299234,-1.0495423649,,-1.0317422306,-1.0264302732,-1.0318965236,-1.0292283594,-1.0263799442,-1.0322298465
1.75,-1.0334007837,-1.0396148327,,-1.0178175305,-1.0119998476,-1.0184323546,-1.0149412743,-1.011948858,-1.0176637824
1.85,-1.0262144794,-1.0312661207,,-1.0050037033,-0.9986471259,-1.0062259228,-1.001825223,-0.9987029774,-1.0042804396
1.95,-1.0203396801,-1.0243800121,,-0.9932724149,-0.9863501264,-0.9952540884,-0.9898602179,-0.9866194567,-0.9920847707
2.05,-1.015617972,-1.0188027657,,-0.9825776656,-0.9750690128,-0.9854753345,-0.979008083,-0.9756576038,-0.9809770177
2.15,-1.011880617,-1.0143600791,,-0.9728595605,-0.9647509414,-0.9768332689,-0.9692159545,-0.965762398, 
2.25,-1.0089620208,-1.0108729056,,-0.9640444548,-0.9553198972,-0.9692567784,-0.9604162474,-0.9568644822,-0.9619529131
2.35,-1.0067092386,-1.0081702763,,-0.9560464041,-0.9466949009,-0.9626613672,-0.9525280893,-0.9488815148,-0.9543593459
2.45,-1.0049875414,-1.006097999,,-0.9487775387,-0.9387746511,-0.9569595181,-0.9454677061,-0.9417284999,-0.9466332535
2.55,-1.0036826494,-1.00452316,,-0.9421652107,-0.9315100665,-0.9520777572,-0.939165569,-0.9353348933, 
2.65,-1.0027005233,-1.0033351783,,-0.9361588779,-0.924813317,-0.9479635192,-0.9335732593,-0.9296514294,-0.9344293686
2.75,-1.0019656248,-1.0024445293,,-0.930720632,-0.9186998841,-0.944575685,-0.9286539092,-0.9246406365,-0.9294254912
2.85,-1.0014184173,-1.001780222,,-0.9258134909,-0.9130883204,-0.9418728673,-0.9243703796,-0.9202650174,-0.9249917522
2.95,-1.0010126639,-1.0012868388,,-0.9213972206,-0.9079590745,-0.9398094158,-0.9206810835,-0.916482937,-0.9212041628
3.05,-1.0007128686,-1.0009216519,,-0.9174295502,-0.9032806726,-0.9383366833,-0.9175412507,-0.9132498444,-0.9186233163
3.15,-1.000492032,-1.0006520631,,-0.913868519,-0.8990022895,-0.9374054403,-0.9149053081,-0.910520615,-0.9152943676
3.25,-1.000329775,-1.0004534122,,-0.9106741538,-0.8951007897,-0.9369677129,-0.912728778,-0.9082514391,-0.9130688885
3.35,-1.0002108176,-1.0003071981,,-0.9078093067,-0.8915649672,-0.9369779556,-0.9109692643,-0.906400674,-0.9113908784
3.45,-1.0001237695,-1.0001996308,,-0.9052399326,-0.8883533166,-0.9373932409,-0.909586887,-0.9049293144,-0.9099098596
3.55,-1.000060182,-1.0001204909,,-0.902935074,-0.8854638233,-0.9381734598,-0.9085444478,-0.9038010643,-0.9088726116
3.65,-1.0000138126,-1.0000622398,,-0.9008667178,-0.8828562258,-0.9392813563,-0.9078073673,-0.9029822274,-0.9084882373
3.75,-0.9999800618,-1.0000193316,,-0.8990095783,-0.8804780488,-0.9406823577,-0.9073437162,-0.9024416146,-0.9077131045
3.85,-0.9999555458,-0.9999876911,,-0.8973408709,-0.8783213317,-0.9423444263,-0.9071240203,-0.9021505011,-0.9075256034
3.95,-0.9999377769,-0.9999643263,,-0.8958401467,-0.8763443161,-0.9442381523,-0.9071213086,-0.902082417,-0.9076445968
4.05,-0.9999249272,-0.999947036,,-0.8944890993,-0.8745136184,-0.9463365595,-0.9073109991,-0.9022130549,-0.9077930865
4.15,-0.9999156541,-0.9999342108,,-0.8932713108,-0.8728195504,-0.9486148736,-0.9076708164,-0.9025203049,-0.9081664603
4.25,-0.9999089725,-0.999924661,,-0.8921720995,-0.8712498484,-0.9510505451,-0.9081805247,-0.9029839236,-0.9087193157
4.35,-0.9999041622,-0.9999175131,,-0.8911784477,-0.8697947581,-0.9536233291,-0.9088220869,-0.9035855272,-0.9096689649
4.45,-0.9999006982,-0.9999121317,,-0.8902788109,-0.8684395984,-0.9563150467,-0.9095795619,-0.904308638,-0.9101791554
4.55,-0.9998981997,-0.9999080461,,-0.8894628818,-0.8671859049,-0.9591091654,-0.9104386001,-0.9051385007,-0.9110512274
4.65,-0.9998963922,-0.9999049144,,-0.8887214883,-0.8660231617,-0.9619910724,-0.9113866772,-0.9060618339,-0.912028412
4.75,-0.9998950784,-0.9999024914,,-0.8880465066,-0.8649454948,-0.9649480852,-0.912412515,-0.9070667375,-0.9131054581
4.85,-0.9998941178,-0.9999005959,,-0.8874307415,-0.8639478537,-0.9679690873,-0.9135061789,-0.9081427213,-0.9142078446
4.95,-0.9998934102,-0.9998990903,,-0.8868678513,-0.8630221671,-0.9710440156,-0.9146592385,-0.9092805917,-0.915355595
5.05,-0.9998928846,-0.9998978898,,-0.8863522855,-0.8621626118,-0.9741644025,-0.915864693,-0.9104728772,-0.9165762187
5.15,-0.9998924904,-0.9998969104,,-0.8858790448,-0.8613649066,-0.9773225556,-0.9171159413,-0.9117126773,-0.917847216
5.25,-0.9998921919,-0.9998961122,,-0.8854435208,-0.8606202904,-0.9805127891,-0.9184068254,-0.9129929777,-0.9192065135
5.35,-0.9998919636,-0.999895446,,-0.8850416714,-0.8599229512,-0.9837293367,-0.9197321313,-0.9143077688,-0.9204939424
5.45,-0.9998917871,-0.9998948992,,-0.8846700962,-0.8592698343,-0.9869677587,-0.9210879476,-0.9156532353,-0.9218563559
5.55,-0.9998916495,-0.9998944288,,-0.8843258339,-0.8586559217,-0.9902239298,-0.922470779,-0.9170264568,-0.9232510448
5.65,-0.9998915413,-0.9998940301,,-0.8840060843,-0.8580762983,-0.9934952154,-0.9238774162,-0.9184245613,-0.9246679494
5.75,-0.9998914558,-0.9998936922,,-0.8837082586,-0.8575290533,-0.9967789777,-0.9253049354,-0.9198433003,-0.9261096961
5.85,-0.9998913878,-0.9998933994,,-0.883430071,-0.8570113472,-1.0000734285,-0.9267509442,-0.9212787603,-0.9275852175
5.95,-0.9998913335,-0.999893146,,-0.8831696386,-0.8565201799,-1.0033767388,-0.928213536,-0.9227296052,-0.9290363901
